14,2440009,2440010,2440011,2440012,2440013,2441014,2440920,2440917,2440916,2440915,2440018,2440019,2440813,2440214,78,6137621,6137620,6137619,6137618,6137617,6137616,6137615,6137614,6137613,6137612,6137611,6137610,6137609,6137608,6137607,6137606,6137605,6137604,6137603,6137602,6137601,6137600,6137599,6137598,6137597,6137596,6137595,6137594,6137593,6137592,6137591,6137590,6137589,6137588,6137587,6137586,6137501,6111105,6111371,6111372,6111373,6111374,6111375,6111376,6111103,6111602,6111603,6111604,6111605,6111606,6111607,6111608,6111609,6111610,6111611,6111612,6111613,6111614,6111615,6111616,6111617,6111618,6111619,6111620,6111621,6111622,6111623,6111624,6111625,6111626,6111627,6111628,6111629,6111630,6111631,6111632,6111633,6111634
1,2440010,7,6110101,6110110,6110102,6110366,6110105,6110367,6110106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6110102,6110102,6110101,6110735,6110734,6110470,6110469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6110101,6110735,6110734,6110470,6110469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2440011,7,6150003,6150137,6150001,6150266,6150005,6150267,6150006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6150129,6150129,6150128,6150637,6150636,6150371,6150370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6150128,6150637,6150636,6150371,6150370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2440012,7,6139503,6139637,6139501,6139766,6139505,6139767,6139506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6139629,6139629,6139628,6139883,6139882,6140127,6140126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6139628,6139883,6139882,6140127,6140126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2440013,7,6146801,6146809,6146802,6147197,6146806,6147323,6146807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6146802,6146802,6146801,6147188,6147187,6147444,6147443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6146801,6147188,6147187,6147444,6147443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2441014,7,6147801,6147809,6147802,6148197,6147806,6148323,6147807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6147802,6147802,6147801,6148188,6148187,6148444,6148443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6147801,6148188,6148187,6148444,6148443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2440018,5,6151004,6151262,6151002,6151522,6151391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6151258,6151258,6151001,6151461,6151259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6151001,6151461,6151259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2440019,7,6131108,6131369,6131102,6131110,6131101,6131239,6131104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6131231,6131231,6131230,6131730,6131729,6131471,6131470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
